文山區,臺北市文山區萬安街30巷1~50號,39,10107,94.56,11000000,116332,0,0,307637,2766114,25.001942,121.571005
文山區,臺北市文山區景興路151~200號,3.71,10107,45.32,4700000,103704,0,0,304866,2765058,24.992511,121.543512
文山區,臺北市文山區保儀路13巷1~50號,14.95,10107,176.1,22500000,127767,27.12,0,307554,2764612,24.988385,121.570121
松山區,臺北市松山區復興北路427巷1~50號,57.41,10108,180.41,33800000,187351,0,0,305087,2772892,25.063228,121.546014
文山區,臺北市文山區秀明路二段163巷1~50號,37.17,10107,135.15,19800000,146503,10.26,0,308297,2764856,24.990559,121.577491
文山區,臺北市文山區景興路114巷1~50號,33.5,10107,105.95,14850000,140160,0,0,304940,2765204,24.993826,121.544251
文山區,臺北市文山區興隆路三段201~250號,26.08,10107,88.06,9680000,109919,0,0,306512,2765145,24.993236,121.559821
文山區,臺北市文山區秀明路一段19巷3弄1~50號,39.57,10107,102.74,11680000,113685,0,0,306900,2764716,24.989348,121.563647
文山區,臺北市文山區辛亥路五段124巷1~50號,35.05,10107,119.15,10600000,88962,0,0,305717,2765558,24.996994,121.551962
松山區,臺北市松山區健康路151~200號,23.36,10108,129.34,23250000,179759,0,0,306712,2771916,25.054356,121.56208
松山區,西松段二小段351~400地號,26,10108,0,1929200,74200,0,0,306864,2771417,25.049846,121.563566
松山區,臺北市松山區寶清街101巷1~50號,24.96,10107,78.74,13700000,173995,0,0,307375,2771748,25.052815,121.568644
松山區,臺北市松山區健康路15巷51~100號,26.53,10108,120.53,22220000,184360,0,0,305987,2771978,25.054943,121.554898
松山區,臺北市松山區健康路185巷1~50號,23.3,10108,112.88,20350000,180281,0,0,306605,2771981,25.054947,121.561023
文山區,臺北市文山區汀州路四段151~200號,19.19,10107,158.12,27400000,173287,0,0,304080,2766305,25.003797,121.535775
文山區,臺北市文山區汀州路四段201~250號,32.09,10107,166.27,27500000,165391,0,0,304121,2766165,25.002532,121.536176
文山區,臺北市文山區興順街80巷1~50號,32.16,10106,166.92,24000000,143780,0,0,305017,2765950,25.000558,121.545044
文山區,臺北市文山區辛亥路四段201~250號,35.6,10107,85.08,10930000,128467,0,0,306036,2766059,25.001505,121.555143
文山區,臺北市文山區臺北市文山區羅斯福路五段170巷1~50號,38.53,10108,192.3,27000000,140407,32.01,0,304131,2766385,25.004517,121.536284
松山區,臺北市松山區民生東路五段151~200號,5.66,10108,82.83,17200000,207653,0,0,306958,2772380,25.058536,121.564538
松山區,臺北市松山區撫遠街251~300號,28.93,10107,86.07,14000000,162658,0,0,307250,2772645,25.060917,121.567443
松山區,臺北市松山區南京東路五段51~100號,13.01,10107,135.26,26500000,195919,0,0,306543,2771553,25.051086,121.560391
文山區,萬慶段二小段51~100地號,134.75,10108,0,3607000,26768,0,0,304561,2765177,24.993596,121.540496
文山區,臺北市文山區萬安街22巷1~50號,83.01,10107,119.7,13600000,113613,0,0,307636,2766115,25.001951,121.570996
文山區,臺北市文山區木新路三段95巷1~50號,32.56,10108,211.81,28200000,133141,0,0,306907,2763857,24.981593,121.563681
文山區,政大段四小段601~650地號,56,10106,0,16431800,293425,0,0,308141,2764629,24.988516,121.575936
文山區,臺北市文山區久康街1~50號,20.77,10108,87.82,11400000,129807,0,0,307096,2764703,24.989224,121.565588
文山區,臺北市文山區仙岩路16巷1~50號,44.5,10107,94.08,18000000,191327,0,0,305534,2765513,24.996594,121.550148
松山區,臺北市松山區敦化北路222巷6弄1~50號,25.5,10107,132.51,30500000,230175,0,0,305333,2772395,25.058732,121.548433
松山區,濱江段四小段551~600地號,87.72,10107,0,6798006,77500,0,0,305114,2773781,25.071252,121.546318
松山區,濱江段四小段551~600地號,7.44,10108,0,576403,77500,0,0,305040,2773781,25.071255,121.545584
松山區,臺北市松山區民生東路五段69巷1~50號,12.15,10107,64.45,14800000,229651,0,0,306320,2772430,25.059011,121.558216
松山區,臺北市松山區富錦街571巷1~50號,50.5,10107,101.64,18500000,182015,0,0,307221,2772808,25.06239,121.567162
文山區,臺北市文山區萬美街二段2巷1~50號,61.9,10108,104.9,10500000,100098,0,0,306783,2766180,25.00257,121.562548
